HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY Type S Coho,HATCHERY Type N Coho,WILD  Chum
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,327
,354,301,,328
,354,301,,328
,354,301,,328
,354,301,,328
,354,301,,328
,354,301,,328
,354,301,,328
,354,301,,328
,354,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,328
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,356,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,329
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,330
,357,301,,331
,357,301,,331
,357,301,,331
,357,301,,331
,357,301,,331
,357,302,,331
,357,302,,331
,357,302,,331
,357,302,,331
,357,302,,331
,357,302,,331
,357,302,,331
,357,303,,331
,360,303,,331
,360,303,,332
,360,304,,332
,360,304,,332
,360,304,,332
,360,304,,332
,360,304,,332
,360,304,,332
,360,304,,332
,360,304,,333
,360,304,,333
,360,304,,333
,360,304,,333
,360,304,,333
,360,304,,333
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,334
,360,304,,335
,360,306,,335
,360,306,,335
,360,306,,335
,360,306,,335
,360,306,,335
,360,306,,338
,360,306,,338
,360,306,,338
,360,306,,338
,360,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,306,,338
,362,309,,338
,362,309,,338
,362,309,,338
,362,309,,338
,362,309,,338
,362,309,,338
,362,309,,338
,362,309,,338
,362,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
,365,309,,338
