WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,HATCHERY Winter-Late Steelhead,HATCHERY Type N Coho
,258,352,115,
,258,353,115,
,258,353,115,
,258,353,115,
,258,353,115,
,258,353,115,
,258,353,115,
,259,353,115,
,259,353,115,
,259,353,115,
,259,353,115,
,259,353,115,
,259,353,115,
,259,353,116,
,259,353,116,
,260,353,116,
,260,353,116,
,260,353,116,
,261,353,116,
,261,353,116,
,261,353,116,
,261,355,116,
,261,355,116,
,261,355,116,
,261,355,116,
,261,355,116,
,261,355,116,
,262,355,116,
,262,355,116,
,262,355,116,
,262,355,116,
,263,355,116,
,264,355,116,
,264,355,116,
,264,355,116,
,264,355,116,
,264,355,117,
,264,355,117,
,264,355,117,
,264,355,117,
,264,355,117,
,264,355,117,
,264,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,265,355,117,
,266,355,117,
,266,355,117,
,266,355,117,
,266,355,117,
,266,355,117,
,266,355,117,
,266,355,117,
,267,355,117,
,267,355,117,
,268,355,117,
,268,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,355,117,
,269,356,117,
,269,356,117,
,270,356,117,
,270,356,117,
,270,356,117,
,271,356,117,
,271,356,117,
,271,356,117,
,271,357,118,
,271,357,118,
,271,357,118,
,271,357,118,
,271,357,118,
,271,357,118,
,271,357,119,
,271,357,119,
,271,357,120,
,271,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,273,357,120,
,274,357,120,
,274,358,120,
,275,358,120,
,275,358,120,
,276,358,120,
,276,358,120,
,276,358,121,
,276,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,358,121,
,277,361,121,
,281,361,121,
,281,361,121,
,283,361,121,
,283,361,121,
,283,361,121,
,283,361,121,
,283,361,121,
,283,361,121,
,283,361,121,
,284,361,121,
,284,361,121,
,284,361,121,
,284,361,121,
,284,361,121,
,284,361,121,
,285,361,122,
,285,361,122,
,285,361,122,
,285,361,122,
,285,361,122,
,286,361,122,
,286,361,122,
,286,361,122,
,287,361,122,
,287,361,122,
,287,361,122,
,287,361,123,
,287,361,123,
,287,361,123,
,287,361,124,
,287,361,124,
,287,361,124,
,287,361,124,
,287,361,124,
,287,361,124,
,288,361,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,288,362,124,
,291,362,124,
,291,362,124,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,125,
,293,362,126,
,293,362,126,
,293,362,127,
,293,362,127,
,293,362,128,
,293,362,128,
,293,362,128,
,296,362,128,
,296,362,128,
,297,362,128,
,299,362,128,
,299,363,128,
,299,363,128,
,299,363,128,
,299,363,128,
,299,363,128,
,299,363,128,
,299,363,128,
,299,363,128,
,300,363,128,
,300,363,128,
,300,363,128,
,300,363,128,
,300,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,128,
,301,363,129,
,301,363,129,
,301,363,129,
,301,363,129,
,302,363,129,
,302,363,129,
,302,363,130,
,302,363,130,
,302,363,130,
,302,363,130,
,302,363,130,
,302,364,130,
,302,364,130,
,302,364,131,
,302,364,131,
,302,364,131,
,302,364,131,
,302,364,131,
,302,364,131,
,303,364,131,
,303,364,131,
,303,364,131,
,303,364,132,
,303,364,132,
,303,364,132,
,306,364,132,
,306,364,132,
,306,364,132,
,308,364,132,
,308,364,132,
,308,364,133,
,308,364,134,
,308,364,135,
,308,364,135,
,308,364,135,
,308,364,135,
,308,364,135,
,308,364,135,
,308,364,136,
,308,364,136,
,308,364,137,
,308,364,137,
,308,364,137,
,308,364,139,
,308,364,139,
,308,364,139,
,308,365,139,
,308,,139,
,308,,139,
,308,,139,
,308,,139,
,308,,139,
,308,,142,
,308,,142,
,308,,144,
,309,,144,
,309,,,
,309,,,
,309,,,
,309,,,
,310,,,
,310,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,312,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,313,,,
,314,,,
,314,,,
,316,,,
,316,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
,317,,,
